source,target,relation
asperula_calabrica,C6_robuste,has_trait
asperula_calabrica,C8_plagiotrope,has_trait
asperula,asperula_hirsuta,has_species
asperula_hirsuta,C1_rampant,has_trait
aster,aster_stellata,has_species
aster_stellata,C3_orthotrope,has_trait
astragalus,astragalus_epiglottis,has_species
astragalus_epiglottis,C1_rampant,has_trait
astragalus_epiglottis,C3_orthotrope,has_trait
astragalus,astragalus_numidicus,has_species
astragalus_numidicus,C1_rampant,has_trait
astragalus_numidicus,C3_orthotrope,has_trait
astragalus_numidicus,C8_plagiotrope,has_trait
batatas,batatas_choisy,has_species
batatas_choisy,C3_orthotrope,has_trait
berberis,berberis_hispanica,has_species
berberis_hispanica,C6_robuste,has_trait
biscutella,biscutella_apula,has_species
biscutella_apula,C3_orthotrope,has_trait
bonjeania,bonjeania_hirsuta,has_species
bonjeania_hirsuta,C1_rampant,has_trait
bonjeania_hirsuta,C3_orthotrope,has_trait
bonjeania_hirsuta,C6_robuste,has_trait
borago,borago_officinalis,has_species
borago_officinalis,C1_rampant,has_trait
borago_officinalis,C2_volubile,has_trait
borago_officinalis,C3_orthotrope,has_trait
borago_officinalis,C6_robuste,has_trait
borago_officinalis,C8_plagiotrope,has_trait
brassica,brassica_humilis,has_species
brassica_humilis,C3_orthotrope,has_trait
brassica,brassica_oleracea,has_species
brassica_oleracea,C3_orthotrope,has_trait
brassica_oleracea,C8_plagiotrope,has_trait
brassica,brassica_radicata,has_species
brassica_radicata,C6_robuste,has_trait
brassica,brassica_tournefort,has_species
brassica_tournefort,C6_robuste,has_trait
brignolia,brignolia_pastinacifolia,has_species
brignolia_pastinacifolia,C3_orthotrope,has_trait
brunella,brunella_tournefort,has_species
brunella_tournefort,C3_orthotrope,has_trait
brunella_tournefort,C8_plagiotrope,has_trait
brunella,brunella_vulgaris,has_species
brunella_vulgaris,C2_volubile,has_trait
brunella_vulgaris,C3_orthotrope,has_trait
bunium,bunium_alpinum,has_species
bunium_alpinum,C8_plagiotrope,has_trait
bunium,bunium_incrassatum,has_species
bunium_incrassatum,C3_orthotrope,has_trait
bunium_incrassatum,C6_robuste,has_trait
bupleurum,bupleurum_plantagineum,has_species
bupleurum_plantagineum,C3_orthotrope,has_trait
bupleurum_plantagineum,C6_robuste,has_trait
calamintha,calamintha_calament,has_species
calamintha_calament,C3_orthotrope,has_trait
calamintha_calament,C5_flexueux,has_trait
calamintha_calament,C8_plagiotrope,has_trait
calendula,calendula_arvensis,has_species
calendula_arvensis,C3_orthotrope,has_trait
calendula_arvensis,C5_flexueux,has_trait
campanula,campanula_aurasiaca,has_species
campanula_aurasiaca,C3_orthotrope,has_trait
campanula,campanula_campanule,has_species
campanula_campanule,C1_rampant,has_trait
campanula_campanule,C3_orthotrope,has_trait
campanula_campanule,C6_robuste,has_trait
campanula,campanula_dichotoma,has_species
campanula_dichotoma,C3_orthotrope,has_trait
capnophyllum,capnophyllum_dichotomum,has_species
capnophyllum_dichotomum,C5_flexueux,has_trait
capsella,capsella_pasteur,has_species
capsella_pasteur,C3_orthotrope,has_trait
carduncellus,carduncellus_tingitanus,has_species
carduncellus_tingitanus,C3_orthotrope,has_trait
carduus,carduus_marianus,has_species
carduus_marianus,C3_orthotrope,has_trait
carduus,carduus_myriacanthus,has_species
carduus_myriacanthus,C3_orthotrope,has_trait
carduus_myriacanthus,C6_robuste,has_trait
carduus,carduus_numidicus,has_species
carduus_numidicus,C8_plagiotrope,has_trait
carduus,carduus_pycnocephalus,has_species
carduus_pycnocephalus,C3_orthotrope,has_trait
carduus_pycnocephalus,C6_robuste,has_trait
caroxylon,caroxylon_articulatum,has_species
caroxylon_articulatum,C3_orthotrope,has_trait
carthamus,carthamus_corymbosus,has_species
carthamus_corymbosus,C3_orthotrope,has_trait
carthamus,carthamus_tinctorius,has_species
carthamus_tinctorius,C1_rampant,has_trait
carthamus_tinctorius,C3_orthotrope,has_trait
carum,carum_incrassatum,has_species
carum_incrassatum,C3_orthotrope,has_trait
catananche,catananche_lutea,has_species
catananche_lutea,C3_orthotrope,has_trait
celsia,celsia_betonicæfolia,has_species
celsia_betonicæfolia,C6_robuste,has_trait
celsia,celsia_cretica,has_species
celsia_cretica,C3_orthotrope,has_trait
centaurea,centaurea_centaurée,has_species
centaurea_centaurée,C1_rampant,has_trait
centaurea_centaurée,C3_orthotrope,has_trait
centaurea_centaurée,C5_flexueux,has_trait
centaurea_centaurée,C6_robuste,has_trait
centaurea_centaurée,C8_plagiotrope,has_trait
centaurea,centaurea_tagana,has_species
centaurea_tagana,C3_orthotrope,has_trait
cephalaria,cephalaria_atlantica,has_species
cephalaria_atlantica,C3_orthotrope,has_trait
chamomilla,chamomilla_aurea,has_species
chamomilla_aurea,C3_orthotrope,has_trait
cheiranthus,cheiranthus_tristis,has_species
cheiranthus_tristis,C5_flexueux,has_trait
chelidonium,chelidonium_corniculatun,has_species
chelidonium_corniculatun,C3_orthotrope,has_trait
chenopodium,chenopodium_chenopode,has_species
chenopodium_chenopode,C1_rampant,has_trait
chenopodium_chenopode,C6_robuste,has_trait
chrysanthemum,chrysanthemum_clausonis,has_species
chrysanthemum_clausonis,C3_orthotrope,has_trait
cichorium,cichorium_intybus,has_species
cichorium_intybus,C3_orthotrope,has_trait
cirsium,cirsium_giganteum,has_species
cirsium_giganteum,C3_orthotrope,has_trait
cistus,cistus_croceus,has_species
cistus_croceus,C1_rampant,has_trait
cistus,cistus_helianthemoides,has_species
cistus_helianthemoides,C1_rampant,has_trait
cistus,cistus_lavandulæfolius,has_species
cistus_lavandulæfolius,C1_rampant,has_trait
cistus,cistus_polyanthos,has_species
cistus_polyanthos,C1_rampant,has_trait
cistus,cistus_racemosus,has_species
cistus_racemosus,C3_orthotrope,has_trait
cistus_racemosus,C6_robuste,has_trait
cistus,cistus_salicifolius,has_species
cistus_salicifolius,C3_orthotrope,has_trait
cistus_salicifolius,C8_plagiotrope,has_trait
clinopodium,clinopodium_villosum,has_species
clinopodium_villosum,C3_orthotrope,has_trait
cnicus,cnicus_syriacus,has_species
cnicus_syriacus,C3_orthotrope,has_trait
convolvulus,convolvulus_altheoides,has_species
convolvulus_altheoides,C1_rampant,has_trait
convolvulus_altheoides,C2_volubile,has_trait
convolvulus,convolvulus_cantabrica,has_species
convolvulus_cantabrica,C2_volubile,has_trait
cordylocarpus,cordylocarpus_muricatus,has_species
cordylocarpus_muricatus,C3_orthotrope,has_trait
coronilla,coronilla_coronille,has_species
coronilla_coronille,C3_orthotrope,has_trait
cracca,cracca_minor,has_species
cracca_minor,C3_orthotrope,has_trait
crepis,crepis_patula,has_species
crepis_patula,C3_orthotrope,has_trait
cuminum,cuminum_cumin,has_species
cuminum_cumin,C3_orthotrope,has_trait
cuscuta,cuscuta_major,has_species
cuscuta_major,C3_orthotrope,has_trait
cytisus,cytisus_argenteus,has_species
cytisus_argenteus,C8_plagiotrope,has_trait
cytisus,cytisus_triflorus,has_species
cytisus_triflorus,C3_orthotrope,has_trait
cytisus_triflorus,C6_robuste,has_trait
daphne,daphne_gnidium,has_species
daphne_gnidium,C3_orthotrope,has_trait
daphne_gnidium,C6_robuste,has_trait
daphne,daphne_oleoides,has_species
daphne_oleoides,C3_orthotrope,has_trait
daucus,daucus_carotte,has_species
daucus_carotte,C3_orthotrope,has_trait
daucus_carotte,C6_robuste,has_trait
daucus,daucus_micranthus,has_species
daucus_micranthus,C3_orthotrope,has_trait
daucus_micranthus,C6_robuste,has_trait
daucus_micranthus,C8_plagiotrope,has_trait
delphinium,delphinium_ajacis,has_species
delphinium_ajacis,C3_orthotrope,has_trait
delphinium_ajacis,C6_robuste,has_trait
delphinium,delphinium_orientale,has_species
delphinium_orientale,C3_orthotrope,has_trait
deverra,deverra_pithuranthos,has_species
deverra_pithuranthos,C3_orthotrope,has_trait
diplotaxis,diplotaxis_auriculata,has_species
diplotaxis_auriculata,C3_orthotrope,has_trait
dorycnium,dorycnium_rectum,has_species
dorycnium_rectum,C3_orthotrope,has_trait
dorycnium_rectum,C8_plagiotrope,has_trait
durandoa,durandoa_arborescens,has_species
durandoa_arborescens,C3_orthotrope,has_trait
ebenus,ebenus_pinnata,has_species
ebenus_pinnata,C1_rampant,has_trait
ebenus_pinnata,C3_orthotrope,has_trait
ebenus_pinnata,C6_robuste,has_trait
ebenus_pinnata,C8_plagiotrope,has_trait
echium,echium_plantagiueum,has_species
echium_plantagiueum,C3_orthotrope,has_trait
echium_plantagiueum,C6_robuste,has_trait
elatine,elatine_alsinastrum,has_species
elatine_alsinastrum,C3_orthotrope,has_trait
ephedra,ephedra_alenda,has_species
ephedra_alenda,C3_orthotrope,has_trait
ephedra,ephedra_fragilis,has_species
ephedra_fragilis,C3_orthotrope,has_trait
erodium,erodium_mauritanicum,has_species
erodium_mauritanicum,C1_rampant,has_trait
ervum,ervum_agrigentinum,has_species
ervum_agrigentinum,C3_orthotrope,has_trait
eryngium,eryngium_panicaut,has_species
eryngium_panicaut,C3_orthotrope,has_trait
erysimum,erysimum_grandiflorum,has_species
erysimum_grandiflorum,C6_robuste,has_trait
eupatorium,eupatorium_eupatoire,has_species
eupatorium_eupatoire,C3_orthotrope,has_trait
euphorbia,euphorbia_abyssinica,has_species
euphorbia_abyssinica,C3_orthotrope,has_trait
euphorbia,euphorbia_calice,has_species
euphorbia_calice,C3_orthotrope,has_trait
euphorbia,euphorbia_peplis,has_species
euphorbia_peplis,C1_rampant,has_trait
euphorbia_peplis,C3_orthotrope,has_trait
euphorbia_peplis,C8_plagiotrope,has_trait
evacopsis,evacopsis_angustifolia,has_species
evacopsis_angustifolia,C3_orthotrope,has_trait
fagonia,fagonia_microphylla,has_species
fagonia_microphylla,C1_rampant,has_trait
fagonia_microphylla,C3_orthotrope,has_trait
falcaria,falcaria_rivin,has_species
falcaria_rivin,C3_orthotrope,has_trait
filago,filago_heldreichii,has_species
filago_heldreichii,C1_rampant,has_trait
filago_heldreichii,C3_orthotrope,has_trait
fradinia,fradinia_halimifolia,has_species
fradinia_halimifolia,C3_orthotrope,has_trait
fumaria,fumaria_capreolata,has_species
fumaria_capreolata,C8_plagiotrope,has_trait
fumaria,fumaria_munbyi,has_species
fumaria_munbyi,C1_rampant,has_trait
fumaria_munbyi,C3_orthotrope,has_trait
fumaria_munbyi,C8_plagiotrope,has_trait
fumaria,fumaria_vaillantii,has_species
fumaria_vaillantii,C3_orthotrope,has_trait
fumaria_vaillantii,C6_robuste,has_trait
fumaria_vaillantii,C8_plagiotrope,has_trait
gentiana,gentiana_ramosissima,has_species
gentiana_ramosissima,C6_robuste,has_trait
geranium,geranium_tuberosum,has_species
geranium_tuberosum,C3_orthotrope,has_trait
gundelia,gundelia_tournefort,has_species
gundelia_tournefort,C6_robuste,has_trait
haplophyllum,haplophyllum_buxbaumi,has_species
haplophyllum_buxbaumi,C3_orthotrope,has_trait
hedypnois,hedypnois_polymorpha,has_species
hedypnois_polymorpha,C3_orthotrope,has_trait
helianthemum,helianthemum_pomeridianum,has_species
helianthemum_pomeridianum,C1_rampant,has_trait
helianthemum_pomeridianum,C3_orthotrope,has_trait
helianthemum,helianthemum_tuberaria,has_species
helianthemum_tuberaria,C3_orthotrope,has_trait
helianthemum_tuberaria,C6_robuste,has_trait
helichrysum,helichrysum_fontanesii,has_species
helichrysum_fontanesii,C3_orthotrope,has_trait
helichrysum_fontanesii,C6_robuste,has_trait
helosciadium,helosciadium_nodiflorum,has_species
helosciadium_nodiflorum,C1_rampant,has_trait
helosciadium_nodiflorum,C3_orthotrope,has_trait
helosciadium_nodiflorum,C6_robuste,has_trait
helosciadium_nodiflorum,C8_plagiotrope,has_trait
hieracium,hieracium_pilosella,has_species
hieracium_pilosella,C5_flexueux,has_trait
hippocrepis,hippocrepis_multisiliquosa,has_species
hippocrepis_multisiliquosa,C3_orthotrope,has_trait
hymenostemma,hymenostemma_fontanesi,has_species
hymenostemma_fontanesi,C3_orthotrope,has_trait
hypericum,hypericum_repens,has_species
hypericum_repens,C3_orthotrope,has_trait
hypericum,hypericum_roberti,has_species
hypericum_roberti,C3_orthotrope,has_trait
illecebrum,illecebrum_echinatum,has_species
illecebrum_echinatum,C1_rampant,has_trait
illecebrum,illecebrum_paronychia,has_species
illecebrum_paronychia,C1_rampant,has_trait
illecebrum_paronychia,C3_orthotrope,has_trait
inula,inula_odora,has_species
inula_odora,C3_orthotrope,has_trait
isatis,isatis_canescezs,has_species
isatis_canescezs,C3_orthotrope,has_trait
knautia,knautia_hybrida,has_species
knautia_hybrida,C3_orthotrope,has_trait
kundmannia,kundmannia_sicula,has_species
kundmannia_sicula,C3_orthotrope,has_trait
lactuca,lactuca_khass,has_species
lactuca_khass,C6_robuste,has_trait
lactuca,lactuca_muralis,has_species
lactuca_muralis,C3_orthotrope,has_trait
lactuca_muralis,C6_robuste,has_trait
lamium,lamium_purpureum,has_species
lamium_purpureum,C3_orthotrope,has_trait
lampsana,lampsana_virgata,has_species
lampsana_virgata,C3_orthotrope,has_trait
lapsana,lapsana_communis,has_species
lapsana_communis,C3_orthotrope,has_trait
laserpitium,laserpitium_daucoides,has_species
laserpitium_daucoides,C8_plagiotrope,has_trait
lathyrus,lathyrus_niger,has_species
lathyrus_niger,C3_orthotrope,has_trait
laurus,laurus_nobilis,has_species
laurus_nobilis,C1_rampant,has_trait
laurus_nobilis,C2_volubile,has_trait
laurus_nobilis,C3_orthotrope,has_trait
laurus_nobilis,C6_robuste,has_trait
lavatera,lavatera_cretica,has_species
lavatera_cretica,C3_orthotrope,has_trait
lavatera,lavatera_flava,has_species
lavatera_flava,C1_rampant,has_trait
lavatera_flava,C3_orthotrope,has_trait
lavatera,lavatera_olbia,has_species
lavatera_olbia,C3_orthotrope,has_trait
lavatera_olbia,C6_robuste,has_trait
lepidium,lepidium_glastifolium,has_species
lepidium_glastifolium,C3_orthotrope,has_trait
lepidium_glastifolium,C8_plagiotrope,has_trait
linaria,linaria_elatinoides,has_species
linaria_elatinoides,C1_rampant,has_trait
linaria_elatinoides,C3_orthotrope,has_trait
linaria,linaria_neglecia,has_species
linaria_neglecia,C3_orthotrope,has_trait
linaria_neglecia,C6_robuste,has_trait
linaria_neglecia,C8_plagiotrope,has_trait
linaria,linaria_tournefort,has_species
linaria_tournefort,C1_rampant,has_trait
linaria_tournefort,C2_volubile,has_trait
linaria_tournefort,C3_orthotrope,has_trait
linaria_tournefort,C5_flexueux,has_trait
linaria_tournefort,C6_robuste,has_trait
linaria_tournefort,C8_plagiotrope,has_trait
linaria,linaria_tourneront,has_species
linaria_tourneront,C1_rampant,has_trait
linaria_tourneront,C2_volubile,has_trait
linaria_tourneront,C3_orthotrope,has_trait
linaria_tourneront,C5_flexueux,has_trait
linaria_tourneront,C8_plagiotrope,has_trait
linaria,linaria_viscosa,has_species
linaria_viscosa,C3_orthotrope,has_trait
linaria_viscosa,C8_plagiotrope,has_trait
linosyris,linosyris_lobel,has_species
linosyris_lobel,C3_orthotrope,has_trait
lithospermum,lithospermum_officinale,has_species
lithospermum_officinale,C3_orthotrope,has_trait
lithospermum_officinale,C8_plagiotrope,has_trait
lithospermum,lithospermum_tournefort,has_species
lithospermum_tournefort,C3_orthotrope,has_trait
lotononis,lotononis_leobordea,has_species
lotononis_leobordea,C1_rampant,has_trait
lotononis,lotononis_villosa,has_species
lotononis_villosa,C3_orthotrope,has_trait
lotononis_villosa,C6_robuste,has_trait
lotononis_villosa,C8_plagiotrope,has_trait
lotus,lotus_parviflorus,has_species
lotus_parviflorus,C1_rampant,has_trait
lotus_parviflorus,C3_orthotrope,has_trait
lotus_parviflorus,C5_flexueux,has_trait
lotus,lotus_prostratus,has_species
lotus_prostratus,C6_robuste,has_trait
lupinus,lupinus_lupin,has_species
lupinus_lupin,C3_orthotrope,has_trait
lupinus_lupin,C6_robuste,has_trait
lysimachia,lysimachia_vulgaris,has_species
lysimachia_vulgaris,C3_orthotrope,has_trait
lysimachia_vulgaris,C6_robuste,has_trait
magydaris,magydaris_panacifolia,has_species
magydaris_panacifolia,C6_robuste,has_trait
malope,malope_hispida,has_species
malope_hispida,C6_robuste,has_trait
malope,malope_stipulacea,has_species
malope_stipulacea,C3_orthotrope,has_trait
malva,malva_sylvestris,has_species
malva_sylvestris,C3_orthotrope,has_trait
malva_sylvestris,C8_plagiotrope,has_trait
marrubium,marrubium_marrube,has_species
marrubium_marrube,C3_orthotrope,has_trait
menomphalus,menomphalus_acaulis,has_species
menomphalus_acaulis,C3_orthotrope,has_trait
menomphalus_acaulis,C6_robuste,has_trait
mentha,mentha_insularis,has_species
mentha_insularis,C1_rampant,has_trait
mentha,mentha_menthe,has_species
mentha_menthe,C1_rampant,has_trait
mentha_menthe,C3_orthotrope,has_trait
mentha_menthe,C8_plagiotrope,has_trait
mentha,mentha_rotundifolia,has_species
mentha_rotundifolia,C1_rampant,has_trait
mentha_rotundifolia,C3_orthotrope,has_trait
micromeria,micromeria_bentham,has_species
micromeria_bentham,C3_orthotrope,has_trait
micromeria_bentham,C6_robuste,has_trait
micromeria,micromeria_filiformis,has_species
micromeria_filiformis,C3_orthotrope,has_trait
micromeria_filiformis,C5_flexueux,has_trait
micropus,micropus_pygmaoeus,has_species
micropus_pygmaoeus,C8_plagiotrope,has_trait
microrhynchus,microrhynchus_nudicaulis,has_species
microrhynchus_nudicaulis,C3_orthotrope,has_trait
microrhynchus_nudicaulis,C8_plagiotrope,has_trait
minuartia,minuartia_campestris,has_species
minuartia_campestris,C3_orthotrope,has_trait
montia,montia_fontana,has_species
montia_fontana,C1_rampant,has_trait
montia_fontana,C3_orthotrope,has_trait
montia_fontana,C8_plagiotrope,has_trait
muscari,muscari_comosum,has_species
muscari_comosum,C3_orthotrope,has_trait
myosotis,myosotis_apula,has_species
myosotis_apula,C3_orthotrope,has_trait
myosotis,myosotis_sicula,has_species
myosotis_sicula,C3_orthotrope,has_trait
myosotis_sicula,C5_flexueux,has_trait
narcissus,narcissus_algirus,has_species
narcissus_algirus,C6_robuste,has_trait
nepeta,nepeta_multibracteata,has_species
nepeta_multibracteata,C3_orthotrope,has_trait
nepeta_multibracteata,C6_robuste,has_trait
nigella,nigella_damascæna,has_species
nigella_damascæna,C3_orthotrope,has_trait
nolletia,nolletia_chrysocomoides,has_species
nolletia_chrysocomoides,C3_orthotrope,has_trait
odontites,odontites_lutea,has_species
odontites_lutea,C3_orthotrope,has_trait
onobrychis,onobrychis_caput-galli,has_species
onobrychis_caput-galli,C6_robuste,has_trait
onobrychis,onobrychis_saliva,has_species
onobrychis_saliva,C1_rampant,has_trait
onobrychis_saliva,C3_orthotrope,has_trait
onobrychis_saliva,C6_robuste,has_trait
onobrychis_saliva,C8_plagiotrope,has_trait
ononis,ononis_natrix,has_species
ononis_natrix,C3_orthotrope,has_trait
orchis,orchis_papilionaceus,has_species
orchis_papilionaceus,C3_orthotrope,has_trait
origanum,origanum_hirtum,has_species
origanum_hirtum,C3_orthotrope,has_trait
origanum,origanum_origan,has_species
origanum_origan,C1_rampant,has_trait
origanum_origan,C3_orthotrope,has_trait
orobanche,orobanche_lavandulacea,has_species
orobanche_lavandulacea,C3_orthotrope,has_trait
orobanche,orobanche_major,has_species
orobanche_major,C3_orthotrope,has_trait
oxalis,oxalis_gernua,has_species
oxalis_gernua,C1_rampant,has_trait
paliurus,paliurus_aculeatus,has_species
paliurus_aculeatus,C1_rampant,has_trait
paliurus_aculeatus,C5_flexueux,has_trait
papaver,papaver_pinnatifidum,has_species
papaver_pinnatifidum,C1_rampant,has_trait
phagnalon,phagnalon_sordidum,has_species
phagnalon_sordidum,C3_orthotrope,has_trait
phagnalon_sordidum,C5_flexueux,has_trait
phlomis,phlomis_crinita,has_species
phlomis_crinita,C3_orthotrope,has_trait
phlomis_crinita,C6_robuste,has_trait
pilosella,pilosella_fries,has_species
pilosella_fries,C5_flexueux,has_trait
pimpinella,pimpinella_tragium,has_species
pimpinella_tragium,C3_orthotrope,has_trait
pistorinia,pistorinia_salzmanni,has_species
pistorinia_salzmanni,C3_orthotrope,has_trait
pisum,pisum_ochrus,has_species
pisum_ochrus,C1_rampant,has_trait
pisum_ochrus,C3_orthotrope,has_trait
pisum_ochrus,C6_robuste,has_trait
plagius,plagius_grandiflorus,has_species
plagius_grandiflorus,C3_orthotrope,has_trait
plantago,plantago_coronopus,has_species
plantago_coronopus,C3_orthotrope,has_trait
plumbago,plumbago_dentclaire,has_species
plumbago_dentclaire,C3_orthotrope,has_trait
polycarpon,polycarpon_loeffl,has_species
polycarpon_loeffl,C1_rampant,has_trait
polygonum,polygonum_volubile,has_species
polygonum_volubile,C1_rampant,has_trait
polygonum_volubile,C3_orthotrope,has_trait
potentilla,potentilla_micrantha,has_species
potentilla_micrantha,C6_robuste,has_trait
potentilla,potentilla_potentille,has_species
potentilla_potentille,C1_rampant,has_trait
potentilla_potentille,C3_orthotrope,has_trait
potentilla_potentille,C6_robuste,has_trait
potentilla,potentilla_reptans,has_species
potentilla_reptans,C1_rampant,has_trait
potentilla_reptans,C3_orthotrope,has_trait
potentilla_reptans,C6_robuste,has_trait
poterium,poterium_pimprenelle,has_species
poterium_pimprenelle,C3_orthotrope,has_trait
preslia,preslia_opitz,has_species
preslia_opitz,C1_rampant,has_trait
prunus,prunus_spinosa,has_species
prunus_spinosa,C1_rampant,has_trait
psoralea,psoralea_bituminosa,has_species
psoralea_bituminosa,C3_orthotrope,has_trait
psoralea_bituminosa,C6_robuste,has_trait
pterocephalus,pterocephalus_vaillant,has_species
pterocephalus_vaillant,C3_orthotrope,has_trait
ptychotis,ptychotis_ammoides,has_species
ptychotis_ammoides,C3_orthotrope,has_trait
